genome	genome_accession	source	protein_type	domains	domain_combination_type	count_raw	count_normalized_by_genome_size	count_normalized_by_total_proteins
GCF_000970245.1	GCF_000970245	mistdb	hk	MEDS	domain_comb	1	2.4002452090505564e-07	0.0002802690582959641
GCF_000970245.1	GCF_000970245	mistdb	hk	PAS,PAS_8	domain_comb	1	2.4002452090505564e-07	0.0002802690582959641
GCF_000970245.1	GCF_000970245	mistdb	hk	PAS_9,hole	domain_comb	1	2.4002452090505564e-07	0.0002802690582959641
GCF_000970265.1	GCF_000970265	mistdb	hk	GAF_3,PAS_3,PAS_4,hole	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	GAF,PAS_8,PAS_9	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	nodomain	domain_comb	2	4.831141927355085e-07	0.0005765350245027386
GCF_000970265.1	GCF_000970265	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	3	7.246712891032628e-07	0.0008648025367541078
GCF_000970265.1	GCF_000970265	mistdb	hk	GAF_2,PAS_3	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	CHASE4,hole	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	2	4.831141927355085e-07	0.0005765350245027386
GCF_000970265.1	GCF_000970265	mistdb	hk	MEDS	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	HisKA_7TM,PAS	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	PAS_3,PAS_9,PocR	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_8,PAS_9,hole	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	MEDS,PAS,PAS_4,PAS_9	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970265.1	GCF_000970265	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	2.4155709636775423e-07	0.0002882675122513693
GCF_000970285.1	GCF_000970285	mistdb	hk	nodomain	domain_comb	5	9.962923974720476e-07	0.0011325028312570782
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,PAS_9,PocR	domain_comb	3	5.977754384832286e-07	0.0006795016987542468
GCF_000970285.1	GCF_000970285	mistdb	hk	MEDS,PAS_3,PAS_4	domain_comb	2	3.98516958988819e-07	0.00045300113250283127
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,PAS_9	domain_comb	3	5.977754384832286e-07	0.0006795016987542468
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_8,PAS_9	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	HisKA_7TM,PAS	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9	domain_comb	3	5.977754384832286e-07	0.0006795016987542468
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,PAS_4	domain_comb	2	3.98516958988819e-07	0.00045300113250283127
GCF_000970285.1	GCF_000970285	mistdb	hk	MASE3,PAS_3	domain_comb	4	7.97033917977638e-07	0.0009060022650056625
GCF_000970285.1	GCF_000970285	mistdb	hk	MEDS,PAS_4,PAS_9,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	GAF_2,PAS_3	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	GAF_2,MEDS,PAS,PAS_3,PAS_4,PAS_9	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	5	9.962923974720476e-07	0.0011325028312570782
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3	domain_comb	2	3.98516958988819e-07	0.00045300113250283127
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,PAS_4,PAS_9,PocR	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	GAF_2,PAS_4,PAS_9,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	GAF_3,PAS,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	GAF,PAS,PAS_8	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	2	3.98516958988819e-07	0.00045300113250283127
GCF_000970285.1	GCF_000970285	mistdb	hk	GAF_2,PAS_3,PAS_4,PAS_9,PocR	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_8,PAS_9,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	MEDS,PAS_3	domain_comb	2	3.98516958988819e-07	0.00045300113250283127
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,PAS_8,PAS_9	domain_comb	2	3.98516958988819e-07	0.00045300113250283127
GCF_000970285.1	GCF_000970285	mistdb	hk	MEDS,PAS_3,PAS_9	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	GAF,GAF_2,MEDS,PAS_3,PAS_8,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS,PAS_3,PAS_9,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_9	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_4,PAS_8,PAS_9	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_9,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	MEDS	domain_comb	2	3.98516958988819e-07	0.00045300113250283127
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	RsbU_N,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS,PAS_3,PAS_4,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	PAS,PAS_9	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	Hpt,PAS_3,PAS_9	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970285.1	GCF_000970285	mistdb	hk	CHASE4,PAS_9,hole	domain_comb	1	1.992584794944095e-07	0.00022650056625141563
GCF_000970305.1	GCF_000970305	mistdb	hk	MEDS	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	GAF_2,PAS,PAS_3,PAS_4,PAS_9,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_3,PAS_9,PocR,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	MEDS,PAS_3,PAS_9	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	GAF_2,PAS_3,PAS_4	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	MASE3,PAS_3	domain_comb	3	6.578303964129824e-07	0.0007966011683483802
GCF_000970305.1	GCF_000970305	mistdb	hk	MEDS,PAS_3,PAS_9,PocR	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	HisKA_7TM,PAS_9	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS,PAS_9,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_3,PAS_9,PocR	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_9	domain_comb	2	4.3855359760865494e-07	0.0005310674455655868
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_3	domain_comb	2	4.3855359760865494e-07	0.0005310674455655868
GCF_000970305.1	GCF_000970305	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	2	4.3855359760865494e-07	0.0005310674455655868
GCF_000970305.1	GCF_000970305	mistdb	hk	HATPase_c_3,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	GAF_3,PAS_3,PAS_9,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9	domain_comb	2	4.3855359760865494e-07	0.0005310674455655868
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_3,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_3,PAS_8,PAS_9,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	PAS_4,PAS_8,PAS_9,hole	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970305.1	GCF_000970305	mistdb	hk	GAF_2,PAS_3,PAS_9	domain_comb	1	2.1927679880432747e-07	0.0002655337227827934
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS,PAS_3	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	hole	domain_comb	2	8.3520000534528e-07	0.000859106529209622
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	3	1.25280000801792e-06	0.001288659793814433
GCF_000970325.1	GCF_000970325	mistdb	hk	dCache_1,hole	domain_comb	2	8.3520000534528e-07	0.000859106529209622
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_4,PAS_9,hole	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	GAF_2,PAS_3	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_9	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_4	domain_comb	2	8.3520000534528e-07	0.000859106529209622
GCF_000970325.1	GCF_000970325	mistdb	hk	GAF_2,PAS_4	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_9,hole	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_3,PAS_9,hole	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	dCache_1	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	GAF_2,PAS_9	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_9,dCache_1,hole	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	GAF_2,HisKA_7TM,PAS_8,PAS_9	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	nodomain	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	GAF_2,PAS_4,PAS_9	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_3,PAS_9	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	2	8.3520000534528e-07	0.000859106529209622
GCF_000970325.1	GCF_000970325	mistdb	hk	GAF_3,PAS_3	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000970325.1	GCF_000970325	mistdb	hk	MEDS,PAS_3,PAS_9	domain_comb	1	4.1760000267264e-07	0.000429553264604811
GCF_000978935.1	GCF_000978935	mistdb	hk	GAF_3,PAS,PAS_3,PAS_9,hole	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_3,PAS_9	domain_comb	2	4.916180354009231e-07	0.0005706134094151213
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_3,PAS_4	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	GAF_2,PAS,PAS_3,PAS_4,PAS_9,hole	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_3	domain_comb	2	4.916180354009231e-07	0.0005706134094151213
GCF_000978935.1	GCF_000978935	mistdb	hk	MEDS	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	HATPase_c_3	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS,PAS_4,PAS_9,hole	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	2	4.916180354009231e-07	0.0005706134094151213
GCF_000978935.1	GCF_000978935	mistdb	hk	CHASE4,hole	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	GAF_3,PAS_3,PAS_4,hole	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	GAF_2,PAS,PAS_3,PAS_9,PocR	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	HisKA_7TM,PAS	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS,PAS_8,PAS_9,PocR	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	2	4.916180354009231e-07	0.0005706134094151213
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_3,PAS_9,PocR	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	MASE3,PAS_3	domain_comb	2	4.916180354009231e-07	0.0005706134094151213
GCF_000978935.1	GCF_000978935	mistdb	hk	MEDS,PAS_3,PAS_9	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	GAF_3,PAS_4,hole	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	2	4.916180354009231e-07	0.0005706134094151213
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_3,PAS_4,PAS_9,PocR	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	MEDS,PAS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS,PAS_8	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978935.1	GCF_000978935	mistdb	hk	PAS_9,hole	domain_comb	1	2.4580901770046156e-07	0.0002853067047075606
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS,PAS_8,PAS_9,PocR	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	2	4.909219932316585e-07	0.0005696382796923954
GCF_000978945.1	GCF_000978945	mistdb	hk	HATPase_c_3	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_3,PAS_4	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	GAF_2,PAS,PAS_3,PAS_4,PAS_9,hole	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_3,PAS_9	domain_comb	2	4.909219932316585e-07	0.0005696382796923954
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS,PAS_4,PAS_9,hole	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_3	domain_comb	2	4.909219932316585e-07	0.0005696382796923954
GCF_000978945.1	GCF_000978945	mistdb	hk	MASE3,PAS_3	domain_comb	2	4.909219932316585e-07	0.0005696382796923954
GCF_000978945.1	GCF_000978945	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	2	4.909219932316585e-07	0.0005696382796923954
GCF_000978945.1	GCF_000978945	mistdb	hk	CHASE4,hole	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	GAF_3,PAS_3,PAS_4,hole	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	GAF_2,PAS,PAS_3,PAS_9,PocR	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	HisKA_7TM,PAS	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	MEDS	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_3,PAS_9,PocR	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	GAF_3,PAS,PAS_3,PAS_9,hole	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	MEDS,PAS_3,PAS_9	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	GAF_3,PAS_4,hole	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	2	4.909219932316585e-07	0.0005696382796923954
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_3,PAS_4,PAS_9,PocR	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	MEDS,PAS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS,PAS_8	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978945.1	GCF_000978945	mistdb	hk	PAS_9,hole	domain_comb	1	2.4546099661582926e-07	0.0002848191398461977
GCF_000978955.1	GCF_000978955	mistdb	hk	GAF_2,PAS,PAS_3,PAS_4,PAS_9,hole	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_3,PAS_4	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_3,PAS_9	domain_comb	2	4.923725339829369e-07	0.0005611672278338945
GCF_000978955.1	GCF_000978955	mistdb	hk	HATPase_c_3	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	GAF_3,PAS,PAS_3,PAS_9,hole	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	2	4.923725339829369e-07	0.0005611672278338945
GCF_000978955.1	GCF_000978955	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	2	4.923725339829369e-07	0.0005611672278338945
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_3,PAS_4,PAS_9,PocR	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_3	domain_comb	2	4.923725339829369e-07	0.0005611672278338945
GCF_000978955.1	GCF_000978955	mistdb	hk	CHASE4,hole	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	GAF_2,PAS,PAS_3,PAS_9,PocR	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	HisKA_7TM,PAS	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_3,PAS_9,PocR	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	MEDS	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	MEDS,PAS_3,PAS_9	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	GAF_3,PAS_4,hole	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	MASE3,PAS_3	domain_comb	2	4.923725339829369e-07	0.0005611672278338945
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	2	4.923725339829369e-07	0.0005611672278338945
GCF_000978955.1	GCF_000978955	mistdb	hk	GAF_3,PAS_3,PAS_4,hole	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS,PAS_4,PAS_9,hole	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	MEDS,PAS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS,PAS_8,PAS_9,PocR	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS,PAS_8	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978955.1	GCF_000978955	mistdb	hk	PAS_9,hole	domain_comb	1	2.4618626699146844e-07	0.0002805836139169473
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	MEDS	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS_3,PAS_9	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	GAF_3,PAS,PAS_3,PAS_9,hole	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	GAF_3,PAS_3,PAS_4,hole	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS,PAS_8,PAS_9,PocR	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	2	4.802091406849511e-07	0.0005550929780738274
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	2	4.802091406849511e-07	0.0005550929780738274
GCF_000978965.1	GCF_000978965	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	2	4.802091406849511e-07	0.0005550929780738274
GCF_000978965.1	GCF_000978965	mistdb	hk	GAF_2,PAS,PAS_3,PAS_9,PocR	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS_3	domain_comb	2	4.802091406849511e-07	0.0005550929780738274
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS_3,PAS_4	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS_3,PAS_9,hole	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	PAS_8,hole	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	GAF_3,PAS_4,hole	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	CHASE4,hole	domain_comb	1	2.4010457034247553e-07	0.0002775464890369137
GCF_000978965.1	GCF_000978965	mistdb	hk	MASE3,PAS_3	domain_comb	2	4.802091406849511e-07	0.0005550929780738274
