genome	genome_accession	ncbi_protein_accession	mist_protein_accession	protein_type	source	protein_length	domain_architecture	sensors_or_regulators	domain_counts	domains
GCF_017377855.1	GCF_017377855	WP_207863275.1	GCF_017377855.1-J3U88_RS32505	hk	mistdb	598	hole:1-107,HisKA:108-176,HATPase_c:222-337,hole:338-475,Response_reg:476-561	nodomain	HATPase_c:1,HisKA:1,Response_reg:1,hole:2	HATPase_c,HisKA,Response_reg,hole
GCF_017498545.1	GCF_017498545	WP_237380892.1	GCF_017498545.1-J3U87_RS00045	hk	mistdb	397	hole:1-192,His_kinase:193-273	nodomain	His_kinase:1,hole:1	His_kinase,hole
GCF_017498545.1	GCF_017498545	WP_237380907.1	GCF_017498545.1-J3U87_RS00070	hk	mistdb	1187	Reg_prop:57-80,Reg_prop:151-174,Reg_prop:199-222,hole:223-388,Reg_prop:389-412,Reg_prop:484-507,hole:508-747,Y_Y_Y:748-811,<HisKA>:891-1039,HATPase_c:1040-1151	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	<HisKA>:1,HATPase_c:1,Reg_prop:5,Y_Y_Y:1,hole:2	<HisKA>,HATPase_c,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237381007.1	GCF_017498545.1-J3U87_RS00265	hk	mistdb	755	sCache_3_2:51-184,HAMP:217-268,hole:269-489,HisKA:490-579,HATPase_c:626-741	sCache_3_2,HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1,sCache_3_2:1	HAMP,HATPase_c,HisKA,hole,sCache_3_2
GCF_017498545.1	GCF_017498545	WP_237381078.1	GCF_017498545.1-J3U87_RS00585	hk	mistdb	430	hole:1-319,HATPase_c:320-425	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237381131.1	GCF_017498545.1-J3U87_RS00855	hk	mistdb	477	hole:1-362,HATPase_c:363-472	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237381196.1	GCF_017498545.1-J3U87_RS01190	hk	mistdb	516	hole:1-298,HisKA:299-366,HATPase_c:409-512	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237381280.1	GCF_017498545.1-J3U87_RS01640	hk	mistdb	734	hole:1-332,PAS:333-444,<HisKA>:462-610,HATPase_c:611-727	PAS	<HisKA>:1,HATPase_c:1,PAS:1,hole:1	<HisKA>,HATPase_c,PAS,hole
GCF_017498545.1	GCF_017498545	WP_237381313.1	GCF_017498545.1-J3U87_RS01810	hk	mistdb	460	hole:1-342,HATPase_c:343-451	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237381428.1	GCF_017498545.1-J3U87_RS02400	hk	mistdb	1441	hole:1-108,Reg_prop:109-132,Reg_prop:206-229,hole:230-413,Reg_prop:414-436,hole:437-617,Reg_prop:618-641,hole:642-822,Reg_prop:823-846,Reg_prop:872-895,Reg_prop:924-947,Reg_prop:971-994,hole:995-1101,Y_Y_Y:1102-1166,HisKA_3:1219-1287,HATPase_c:1325-1418	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	HATPase_c:1,HisKA_3:1,Reg_prop:8,Y_Y_Y:1,hole:5	HATPase_c,HisKA_3,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237381445.1	GCF_017498545.1-J3U87_RS02485	hk	mistdb	330	hole:1-108,HisKA:109-175,HATPase_c:219-325	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237381498.1	GCF_017498545.1-J3U87_RS02760	hk	mistdb	366	hole:1-172,His_kinase:173-252,HATPase_c_5:266-361	nodomain	HATPase_c_5:1,His_kinase:1,hole:1	HATPase_c_5,His_kinase,hole
GCF_017498545.1	GCF_017498545	WP_237381528.1	GCF_017498545.1-J3U87_RS02920	hk	mistdb	441	hole:1-208,HisKA:209-274,HATPase_c:317-427	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237381612.1	GCF_017498545.1-J3U87_RS03340	hk	mistdb	965	TPR_7:93-124,TPR_12:126-199,TPR_12:205-279,hole:280-692,<HisKA>:693-841,HATPase_c:842-954	TPR_7,TPR_12,TPR_12	<HisKA>:1,HATPase_c:1,TPR_12:2,TPR_7:1,hole:1	<HisKA>,HATPase_c,TPR_12,TPR_7,hole
GCF_017498545.1	GCF_017498545	WP_237381692.1	GCF_017498545.1-J3U87_RS03750	hk	mistdb	385	hole:1-136,HisKA:137-205,HATPase_c:247-359	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237381801.1	GCF_017498545.1-J3U87_RS04310	hk	mistdb	472	hole:1-253,HisKA:254-319,HATPase_c:371-466	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237381814.1	GCF_017498545.1-J3U87_RS04375	hk	mistdb	1950	Pkinase:7-268,AAA_16:301-490,hole:491-1310,GAF:1311-1454,hole:1455-1684,HisKA:1685-1773,HATPase_c:1820-1938	Pkinase,AAA_16,GAF	AAA_16:1,GAF:1,HATPase_c:1,HisKA:1,Pkinase:1,hole:2	AAA_16,GAF,HATPase_c,HisKA,Pkinase,hole
GCF_017498545.1	GCF_017498545	WP_237381839.1	GCF_017498545.1-J3U87_RS04510	hk	mistdb	453	hole:1-347,HATPase_c:348-452	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237381841.1	GCF_017498545.1-J3U87_RS04520	hk	mistdb	481	2CSK_N:26-157,hole:158-260,HisKA:261-327,HATPase_c:372-478	2CSK_N	2CSK_N:1,HATPase_c:1,HisKA:1,hole:1	2CSK_N,HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237381844.1	GCF_017498545.1-J3U87_RS04535	hk	mistdb	458	hole:1-180,HAMP:181-231,HisKA:235-301,HATPase_c:346-456	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237381873.1	GCF_017498545.1-J3U87_RS04690	hk	mistdb	483	hole:1-232,HisKA:233-299,HATPase_c:345-470	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237381877.1	GCF_017498545.1-J3U87_RS04715	hk	mistdb	916	hole:1-223,dCache_1:224-512,HAMP:549-598,<HisKA>:641-789,HATPase_c:790-901	dCache_1,HAMP	<HisKA>:1,HAMP:1,HATPase_c:1,dCache_1:1,hole:1	<HisKA>,HAMP,HATPase_c,dCache_1,hole
GCF_017498545.1	GCF_017498545	WP_237381907.1	GCF_017498545.1-J3U87_RS04865	hk	mistdb	151	HATPase_c_2:19-142	nodomain	HATPase_c_2:1	HATPase_c_2
GCF_017498545.1	GCF_017498545	WP_237381944.1	GCF_017498545.1-J3U87_RS05055	hk	mistdb	989	Reg_prop:74-97,hole:98-514,Reg_prop:515-538,hole:539-740,<HisKA>:741-889,HATPase_c:890-986	Reg_prop,Reg_prop	<HisKA>:1,HATPase_c:1,Reg_prop:2,hole:2	<HisKA>,HATPase_c,Reg_prop,hole
GCF_017498545.1	GCF_017498545	WP_237381999.1	GCF_017498545.1-J3U87_RS05340	hk	mistdb	417	hole:1-207,HisKA_3:208-275	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_017498545.1	GCF_017498545	WP_237382011.1	GCF_017498545.1-J3U87_RS05400	hk	mistdb	773	FHA:22-86,GAF:160-296,hole:297-515,HisKA:516-605,HATPase_c:653-770	FHA,GAF	FHA:1,GAF:1,HATPase_c:1,HisKA:1,hole:1	FHA,GAF,HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237382127.1	GCF_017498545.1-J3U87_RS06005	hk	mistdb	419	hole:1-299,HATPase_c:300-412	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237382349.1	GCF_017498545.1-J3U87_RS07150	hk	mistdb	1141	Reg_prop:54-77,Reg_prop:99-122,hole:123-381,Reg_prop:382-405,Reg_prop:429-452,hole:453-571,Reg_prop:572-595,hole:596-741,Y_Y_Y:742-806,<HisKA>:876-1024,HATPase_c:1025-1136	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	<HisKA>:1,HATPase_c:1,Reg_prop:5,Y_Y_Y:1,hole:3	<HisKA>,HATPase_c,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237382443.1	GCF_017498545.1-J3U87_RS07625	hk	mistdb	405	hole:1-213,HisKA:214-276	nodomain	HisKA:1,hole:1	HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237382495.1	GCF_017498545.1-J3U87_RS07900	hk	mistdb	450	hole:1-214,HisKA:215-280,HATPase_c:322-432	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237382520.1	GCF_017498545.1-J3U87_RS08025	hk	mistdb	529	hole:1-103,GAF_2:104-246,<HisKA>:265-413,HATPase_c:414-526	GAF_2	<HisKA>:1,GAF_2:1,HATPase_c:1,hole:1	<HisKA>,GAF_2,HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237382580.1	GCF_017498545.1-J3U87_RS08335	hk	mistdb	1742	Pkinase:15-263,AAA_16:296-484,hole:485-1334,GAF:1335-1472,HisKA:1507-1577,HATPase_c:1620-1734	Pkinase,AAA_16,GAF	AAA_16:1,GAF:1,HATPase_c:1,HisKA:1,Pkinase:1,hole:1	AAA_16,GAF,HATPase_c,HisKA,Pkinase,hole
GCF_017498545.1	GCF_017498545	WP_237382600.1	GCF_017498545.1-J3U87_RS08435	hk	mistdb	1793	Pkinase:7-267,AAA_16:298-486,hole:487-1341,GAF_2:1342-1490,<HisKA>:1519-1667,HATPase_c:1668-1782	Pkinase,AAA_16,GAF_2	<HisKA>:1,AAA_16:1,GAF_2:1,HATPase_c:1,Pkinase:1,hole:1	<HisKA>,AAA_16,GAF_2,HATPase_c,Pkinase,hole
GCF_017498545.1	GCF_017498545	WP_237382625.1	GCF_017498545.1-J3U87_RS08560	hk	mistdb	839	Reg_prop:55-78,Reg_prop:149-172,Reg_prop:241-264,Reg_prop:290-313,Reg_prop:383-406,hole:407-508,Y_Y_Y:509-573,<HisKA>:570-718,HATPase_c:719-817	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	<HisKA>:1,HATPase_c:1,Reg_prop:5,Y_Y_Y:1,hole:1	<HisKA>,HATPase_c,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237382736.1	GCF_017498545.1-J3U87_RS09140	hk	mistdb	635	Arf:2-186,hole:187-314,PAS:315-429,<HisKA>:379-527,HATPase_c:528-635	Arf,PAS	<HisKA>:1,Arf:1,HATPase_c:1,PAS:1,hole:1	<HisKA>,Arf,HATPase_c,PAS,hole
GCF_017498545.1	GCF_017498545	WP_237382780.1	GCF_017498545.1-J3U87_RS09360	hk	mistdb	323	HisKA:95-163,HATPase_c:210-321	nodomain	HATPase_c:1,HisKA:1	HATPase_c,HisKA
GCF_017498545.1	GCF_017498545	WP_237382817.1	GCF_017498545.1-J3U87_RS09555	hk	mistdb	458	hole:1-340,HATPase_c:341-458	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237383100.1	GCF_017498545.1-J3U87_RS11080	hk	mistdb	1093	hole:1-465,Reg_prop:466-489,hole:490-692,Y_Y_Y:693-750,<HisKA>:830-978,HATPase_c:979-1093	Reg_prop,Y_Y_Y	<HisKA>:1,HATPase_c:1,Reg_prop:1,Y_Y_Y:1,hole:2	<HisKA>,HATPase_c,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237383105.1	GCF_017498545.1-J3U87_RS11105	hk	mistdb	544	hole:1-328,HisKA:329-395,HATPase_c:438-543	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237383294.1	GCF_017498545.1-J3U87_RS12090	hk	mistdb	466	hole:1-231,HisKA:232-299,HATPase_c:345-456	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237383317.1	GCF_017498545.1-J3U87_RS12210	hk	mistdb	651	GAF_2:52-200,PAS_3:254-342,<HisKA>:376-524,HATPase_c:525-634	GAF_2,PAS_3	<HisKA>:1,GAF_2:1,HATPase_c:1,PAS_3:1	<HisKA>,GAF_2,HATPase_c,PAS_3
GCF_017498545.1	GCF_017498545	WP_237383408.1	GCF_017498545.1-J3U87_RS12665	hk	mistdb	618	hole:1-383,HisKA:384-449,HATPase_c:494-609	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237383454.1	GCF_017498545.1-J3U87_RS12900	hk	mistdb	753	hole:1-255,HAMP:256-305,PAS_9:343-449,<HisKA>:477-625,HATPase_c:626-739	HAMP,PAS_9	<HisKA>:1,HAMP:1,HATPase_c:1,PAS_9:1,hole:1	<HisKA>,HAMP,HATPase_c,PAS_9,hole
GCF_017498545.1	GCF_017498545	WP_237383491.1	GCF_017498545.1-J3U87_RS13085	hk	mistdb	605	hole:1-249,PAS:250-356,HisKA:365-432,HATPase_c:479-590	PAS	HATPase_c:1,HisKA:1,PAS:1,hole:1	HATPase_c,HisKA,PAS,hole
GCF_017498545.1	GCF_017498545	WP_237383537.1	GCF_017498545.1-J3U87_RS13320	hk	mistdb	452	hole:1-334,HATPase_c:335-443	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237383552.1	GCF_017498545.1-J3U87_RS13395	hk	mistdb	1077	Reg_prop:34-57,hole:58-658,Y_Y_Y:659-723,<HisKA>:801-949,HATPase_c:950-1062	Reg_prop,Y_Y_Y	<HisKA>:1,HATPase_c:1,Reg_prop:1,Y_Y_Y:1,hole:1	<HisKA>,HATPase_c,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237383652.1	GCF_017498545.1-J3U87_RS13900	hk	mistdb	420	hole:1-179,HisKA:180-251,HATPase_c:292-401	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237383918.1	GCF_017498545.1-J3U87_RS15275	hk	mistdb	1111	Reg_prop:42-65,hole:66-182,Reg_prop:183-206,Reg_prop:278-300,Reg_prop:325-348,Reg_prop:421-444,hole:445-732,Y_Y_Y:733-797,HisKA:851-924,HATPase_c:971-1084	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	HATPase_c:1,HisKA:1,Reg_prop:5,Y_Y_Y:1,hole:2	HATPase_c,HisKA,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237383986.1	GCF_017498545.1-J3U87_RS15630	hk	mistdb	415	hole:1-291,HATPase_c:292-401	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237384090.1	GCF_017498545.1-J3U87_RS16170	hk	mistdb	1088	Reg_prop:50-73,hole:74-241,Reg_prop:242-265,Reg_prop:337-360,hole:361-748,Y_Y_Y:749-813,HisKA_3:870-949,HATPase_c:988-1086	Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	HATPase_c:1,HisKA_3:1,Reg_prop:3,Y_Y_Y:1,hole:2	HATPase_c,HisKA_3,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237384108.1	GCF_017498545.1-J3U87_RS16265	hk	mistdb	776	hole:1-131,PAS_9:132-234,PAS_9:275-377,PAS_9:400-505,<HisKA>:517-665,HATPase_c:666-774	PAS_9,PAS_9,PAS_9	<HisKA>:1,HATPase_c:1,PAS_9:3,hole:1	<HisKA>,HATPase_c,PAS_9,hole
GCF_017498545.1	GCF_017498545	WP_237384136.1	GCF_017498545.1-J3U87_RS16405	hk	mistdb	445	hole:1-212,HisKA:213-277,HATPase_c:324-433	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237384188.1	GCF_017498545.1-J3U87_RS16680	hk	mistdb	1099	Reg_prop:48-71,Reg_prop:91-114,hole:115-299,Reg_prop:300-323,hole:324-424,Reg_prop:425-448,Reg_prop:466-489,Reg_prop:508-531,hole:532-687,Y_Y_Y:688-750	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	Reg_prop:6,Y_Y_Y:1,hole:3	Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237384189.1	GCF_017498545.1-J3U87_RS16685	hk	mistdb	1125	Reg_prop:77-100,hole:101-200,Reg_prop:201-224,Reg_prop:251-274,hole:275-470,Reg_prop:471-494,hole:495-689,Y_Y_Y:690-752,<HisKA>:832-980,HATPase_c:981-1093	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	<HisKA>:1,HATPase_c:1,Reg_prop:4,Y_Y_Y:1,hole:3	<HisKA>,HATPase_c,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237384197.1	GCF_017498545.1-J3U87_RS16725	hk	mistdb	1817	Pkinase:7-265,AAA_16:299-487,hole:488-1335,GAF:1336-1479,HisKA:1528-1617,HATPase_c:1664-1781	Pkinase,AAA_16,GAF	AAA_16:1,GAF:1,HATPase_c:1,HisKA:1,Pkinase:1,hole:1	AAA_16,GAF,HATPase_c,HisKA,Pkinase,hole
GCF_017498545.1	GCF_017498545	WP_237384379.1	GCF_017498545.1-J3U87_RS17665	hk	mistdb	967	hole:1-730,HisKA:731-797,HATPase_c:839-947	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237384412.1	GCF_017498545.1-J3U87_RS17840	hk	mistdb	409	PAS_8:78-143,<HisKA>:147-295,HATPase_c:296-408	PAS_8	<HisKA>:1,HATPase_c:1,PAS_8:1	<HisKA>,HATPase_c,PAS_8
GCF_017498545.1	GCF_017498545	WP_237384456.1	GCF_017498545.1-J3U87_RS18060	hk	mistdb	434	hole:1-210,HisKA:211-282,HATPase_c:324-431	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237377315.1	GCF_017498545.1-J3U87_RS18770	hk	mistdb	1013	Reg_prop:1-23,hole:24-266,Reg_prop:267-290,Reg_prop:353-375,Reg_prop:403-426,hole:427-540,Reg_prop:541-564,hole:565-667,Y_Y_Y:668-731,<HisKA>:739-887,HATPase_c:888-999	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	<HisKA>:1,HATPase_c:1,Reg_prop:5,Y_Y_Y:1,hole:3	<HisKA>,HATPase_c,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237377329.1	GCF_017498545.1-J3U87_RS18850	hk	mistdb	814	CHASE:83-217,PAS_3:315-404,HisKA:469-537,HATPase_c:576-688	CHASE,PAS_3	CHASE:1,HATPase_c:1,HisKA:1,PAS_3:1	CHASE,HATPase_c,HisKA,PAS_3
GCF_017498545.1	GCF_017498545	WP_237377390.1	GCF_017498545.1-J3U87_RS19180	hk	mistdb	546	CHASE5:41-146,hole:147-279,<HisKA>:280-428,HATPase_c:429-539	CHASE5	<HisKA>:1,CHASE5:1,HATPase_c:1,hole:1	<HisKA>,CHASE5,HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237377416.1	GCF_017498545.1-J3U87_RS19320	hk	mistdb	1033	hole:1-123,Reg_prop:124-147,hole:148-286,Reg_prop:287-309,Reg_prop:370-393,Reg_prop:452-475,Reg_prop:493-516,hole:517-673,Y_Y_Y:674-738,HisKA:808-874,HATPase_c:919-1031	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	HATPase_c:1,HisKA:1,Reg_prop:5,Y_Y_Y:1,hole:3	HATPase_c,HisKA,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237377417.1	GCF_017498545.1-J3U87_RS19325	hk	mistdb	492	hole:1-216,HisKA:217-305,HATPase_c:353-469	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237377629.1	GCF_017498545.1-J3U87_RS20425	hk	mistdb	435	PAS_8:96-160,HisKA:221-284,HATPase_c:329-435	PAS_8	HATPase_c:1,HisKA:1,PAS_8:1	HATPase_c,HisKA,PAS_8
GCF_017498545.1	GCF_017498545	WP_237377633.1	GCF_017498545.1-J3U87_RS20445	hk	mistdb	433	hole:1-209,HisKA:210-275,HATPase_c:320-431	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237377899.1	GCF_017498545.1-J3U87_RS21835	hk	mistdb	618	hole:1-489,HATPase_c:490-607	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237377928.1	GCF_017498545.1-J3U87_RS21990	hk	mistdb	1336	hole:1-233,Reg_prop:234-257,Reg_prop:281-304,Reg_prop:329-352,Reg_prop:376-399,Reg_prop:422-445,Reg_prop:470-493,hole:494-607,Reg_prop:608-631,hole:632-735,Y_Y_Y:736-800,hole:801-1055,<HisKA>:1056-1204,HATPase_c:1205-1315	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	<HisKA>:1,HATPase_c:1,Reg_prop:7,Y_Y_Y:1,hole:4	<HisKA>,HATPase_c,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237377998.1	GCF_017498545.1-J3U87_RS22385	hk	mistdb	360	hole:1-169,His_kinase:170-250	nodomain	His_kinase:1,hole:1	His_kinase,hole
GCF_017498545.1	GCF_017498545	WP_237384528.1	GCF_017498545.1-J3U87_RS22740	hk	mistdb	414	hole:1-184,HisKA:185-254,HATPase_c:296-408	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237378124.1	GCF_017498545.1-J3U87_RS23015	hk	mistdb	392	hole:1-192,His_kinase:193-272	nodomain	His_kinase:1,hole:1	His_kinase,hole
GCF_017498545.1	GCF_017498545	WP_237378359.1	GCF_017498545.1-J3U87_RS24215	hk	mistdb	1333	hole:1-368,Reg_prop:369-392,hole:393-605,Reg_prop:606-629,hole:630-885,Reg_prop:886-909,hole:910-1012,Y_Y_Y:1013-1077,HisKA_3:1134-1191,HATPase_c:1230-1327	Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	HATPase_c:1,HisKA_3:1,Reg_prop:3,Y_Y_Y:1,hole:4	HATPase_c,HisKA_3,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237378373.1	GCF_017498545.1-J3U87_RS24285	hk	mistdb	346	PAS_8:5-70,<HisKA>:82-230,HATPase_c:231-338	PAS_8	<HisKA>:1,HATPase_c:1,PAS_8:1	<HisKA>,HATPase_c,PAS_8
GCF_017498545.1	GCF_017498545	WP_237378378.1	GCF_017498545.1-J3U87_RS24310	hk	mistdb	410	hole:1-187,HisKA:188-253,HATPase_c:298-407	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237378409.1	GCF_017498545.1-J3U87_RS24470	hk	mistdb	187	HATPase_c_2:41-162	nodomain	HATPase_c_2:1	HATPase_c_2
GCF_017498545.1	GCF_017498545	WP_237378427.1	GCF_017498545.1-J3U87_RS24560	hk	mistdb	523	hole:1-289,HisKA:290-356,HATPase_c:404-519	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237378462.1	GCF_017498545.1-J3U87_RS24735	hk	mistdb	852	CHASE:80-265,PAS:350-463,PAS:478-590,HisKA:620-688,HATPase_c:727-836	CHASE,PAS,PAS	CHASE:1,HATPase_c:1,HisKA:1,PAS:2	CHASE,HATPase_c,HisKA,PAS
GCF_017498545.1	GCF_017498545	WP_237378467.1	GCF_017498545.1-J3U87_RS24760	hk	mistdb	567	hole:1-316,HisKA:317-384,HATPase_c:428-545	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237378491.1	GCF_017498545.1-J3U87_RS24885	hk	mistdb	448	hole:1-161,HAMP:162-211,HisKA:216-282,HATPase_c:323-433	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_017498545.1	GCF_017498545	WP_237378602.1	GCF_017498545.1-J3U87_RS25455	hk	mistdb	1370	hole:1-969,HAMP:970-1019,<HisKA>:1105-1253,HATPase_c:1254-1360	HAMP	<HisKA>:1,HAMP:1,HATPase_c:1,hole:1	<HisKA>,HAMP,HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237378717.1	GCF_017498545.1-J3U87_RS26035	hk	mistdb	1268	Reg_prop:46-69,hole:70-317,Reg_prop:318-342,hole:343-453,Reg_prop:454-477,Reg_prop:502-525,Reg_prop:550-573,Reg_prop:593-616,hole:617-734,Y_Y_Y:735-800,hole:801-1022,HisKA:1023-1093,HATPase_c:1139-1251	Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Reg_prop,Y_Y_Y	HATPase_c:1,HisKA:1,Reg_prop:6,Y_Y_Y:1,hole:4	HATPase_c,HisKA,Reg_prop,Y_Y_Y,hole
GCF_017498545.1	GCF_017498545	WP_237378742.1	GCF_017498545.1-J3U87_RS26185	hk	mistdb	476	hole:1-114,PAS:115-228,HisKA:251-319,HATPase_c:359-469	PAS	HATPase_c:1,HisKA:1,PAS:1,hole:1	HATPase_c,HisKA,PAS,hole
GCF_017498545.1	GCF_017498545	WP_237378750.1	GCF_017498545.1-J3U87_RS26225	hk	mistdb	450	hole:1-332,HATPase_c:333-439	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237378756.1	GCF_017498545.1-J3U87_RS26265	hk	mistdb	231	hole:1-125,HATPase_c:126-231	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_017498545.1	GCF_017498545	WP_237378773.1	GCF_017498545.1-J3U87_RS26355	hk	mistdb	1846	Pkinase:7-269,AAA_16:300-488,hole:489-1349,GAF_2:1350-1496,<HisKA>:1563-1711,HATPase_c:1712-1821	Pkinase,AAA_16,GAF_2	<HisKA>:1,AAA_16:1,GAF_2:1,HATPase_c:1,Pkinase:1,hole:1	<HisKA>,AAA_16,GAF_2,HATPase_c,Pkinase,hole
GCF_017498545.1	GCF_017498545	WP_237378811.1	GCF_017498545.1-J3U87_RS26545	hk	mistdb	413	hole:1-290,HATPase_c:291-400	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
